row_id,Y
2933,4.304532195
734,4.295120932
1139,4.293574992
9394,4.292016221
7393,4.290756539
7900,4.296307925
5095,4.291566379
8763,4.292833794
9632,4.300419598
973,4.29610791
4469,4.282701613
3569,4.287050882
2090,4.289547173
3671,4.296059425
6762,4.300114973
1713,4.295395121
10032,4.297202416
2767,4.285539428
5103,4.288148121
1643,4.291150942
8806,4.298722356
10789,4.293662328
2047,4.292911397
7975,4.295733001
9697,4.292045898
10635,4.300228555
3202,4.287668592
8313,4.290997933
1688,4.287884506
10164,4.292315004
3134,4.299907245
9100,4.291276721
984,4.303161828
6376,4.292241299
6820,4.291637105
8263,4.298300831
346,4.29103978
8855,4.29891065
38,4.294697172
1482,4.302908371
5460,4.293436823
3749,4.299422511
1153,4.29550454
9008,4.301914171
9066,4.299537402
3767,4.297739307
6132,4.289121664
7810,4.29108292
9794,4.293900026
2197,4.295910126
8753,4.296636157
1885,4.299951985
5074,4.285596316
10459,4.293679621
3926,4.293569749
10362,4.303878627
3060,4.287706502
6966,4.298546688
8173,4.099687897
5362,4.290471647
7413,4.286011197
2543,4.288629464
327,4.304811102
2360,4.2961299
4937,4.299839581
3582,4.303394302
4539,4.301277907
4506,4.290887808
8661,4.298481342
2713,4.287042899
10303,4.294979951
12,4.309537908
8749,4.298884673
9171,4.315997404
1138,4.287355104
3734,4.284954106
8596,4.289259687
32,4.298671482
2890,4.298937387
48,4.296575657
6180,4.295745106
10440,4.293538831
4699,4.293497087
3575,4.297319822
1284,4.291329737
3592,4.301504535
3859,4.288405225
10112,4.288418362
8053,4.289642149
6609,4.30601879
8971,4.286992481
5582,4.303499083
3045,4.296517653
4404,4.308688241
7609,4.287657456
3973,4.297457685
4311,4.302510195
1821,4.294043343
6700,4.28621592
7003,4.293014786
923,4.295185649
6911,4.300154099
3094,4.31141175
8953,4.29828664
2910,4.298870236
3772,4.287315369
7304,4.295369642
10839,4.293006073
9690,4.28839187
569,4.304157264
4132,4.306796962
1747,4.289944233
2662,4.293704601
7651,4.298716421
1698,4.307150774
3730,4.297218164
8864,4.285025637
4168,4.293275266
5465,4.296338918
2831,4.303786115
8591,4.293594086
3801,4.292812791
9403,4.308616798
1158,4.305880326
6178,4.301908572
3174,4.311292479
2248,4.296933852
7664,4.304312707
3130,4.295610059
8373,4.296256751
7592,4.301161375
9831,4.287758896
349,4.293069013
5655,4.297426326
9002,4.290555734
9228,4.293858234
6985,4.295045461
7065,4.285635307
4075,4.295942434
9870,4.301887883
7839,4.300021999
1699,4.286566332
2064,4.29793727
10767,4.292048092
7837,4.292859105
10206,4.300574016
9462,4.292818283
9207,4.293845444
6476,4.290098767
6017,4.299513802
1696,4.298993055
4662,4.299236856
4616,4.285290426
4125,4.301425056
6682,4.295291005
250,4.288382302
5584,4.289112816
6760,4.297048701
2004,4.297302027
8695,4.286269197
4264,4.298097138
9864,4.298733782
3155,4.28757971
597,4.288662926
1360,4.290778219
1352,4.284344328
5934,4.289064373
9026,4.307663662
7218,4.296170881
8127,4.299904666
10025,4.305917751
8424,4.297913587
6009,4.290026047
3587,4.290127345
3855,4.297562709
2362,4.284246398
3496,4.292891939
524,4.297693532
3670,4.282263388
1570,4.298458368
8271,4.288555165
3891,4.296227207
8844,4.291657428
1210,4.29118212
358,4.300552921
102,4.299595934
428,4.306991701
8709,4.296943761
1946,4.289032882
1209,4.289828999
10737,4.300189289
7280,4.296480038
1468,4.296377608
3102,4.300168844
335,4.298586994
365,4.294016092
6252,4.297414601
2318,4.294072643
2138,4.296903178
633,4.297958215
4663,4.302028327
4449,4.286400465
2661,4.286217148
790,4.291195916
2193,4.293539196
1166,4.290354719
2585,4.299696869
5102,4.308844197
2974,4.289259935
5507,4.296996868
3142,4.311302885
1677,4.291484971
3207,4.298134537
4059,4.308694405
7098,4.286021856
668,4.294598026
331,4.286618618
555,4.292655765
8222,4.292901306
3343,4.302387648
1962,4.299345562
4861,4.29635194
2117,4.296531212
6935,4.291244502
8469,4.30001073
5691,4.289384034
8653,4.290169551
10208,4.299731901
2649,4.293677906
9977,4.299513822
8516,4.285374403
6811,4.284983739
2215,4.293856907
7608,4.289911839
7536,4.284984545
2892,4.284487338
8018,4.297454541
5968,4.30136321
7887,4.301794837
4372,4.297766635
3078,4.280791949
10464,4.303514958
2107,4.297958368
4035,4.300601502
4610,4.299186418
473,4.302511907
5478,4.306452193
9942,4.301179735
9867,4.289428081
6217,4.301746547
4966,4.292920429
3244,4.294469163
3491,4.298623549
233,4.28475462
222,4.290048245
405,4.296428857
2916,4.29031613
4990,4.28476596
1240,4.295253176
4613,4.30583506
2622,4.291076568
3837,4.296613425
8946,4.292336401
7751,4.285576016
9272,4.293193187
6295,4.293748306
5929,4.29868352
10800,4.302377084
4828,4.296227159
3038,4.299369884
9872,4.295764957
8637,4.301096969
9253,4.293804007
4333,4.297932734
4280,4.306682463
7946,4.294934487
10723,4.300793201
7803,4.286988726
5084,4.298012492
4804,4.293485521
6688,4.290266889
1944,4.289777544
6474,4.288146932
10028,4.294140293
5316,4.299620587
5594,4.30134354
5660,4.289575986
9753,4.294739501
5586,4.291481948
3998,4.297868896
9539,4.298807636
8777,4.290229619
4887,4.28882119
1289,4.303362381
1516,4.296177334
5716,4.285826171
6897,4.291826503
7333,4.291644481
6895,4.301070328
2905,4.298714605
4401,4.292024735
3966,4.29417501
4048,4.295571484
1819,4.30159846
6073,4.303350018
9534,4.30015608
7358,4.293419083
8184,4.302273878
393,4.284422472
5430,4.288496556
4614,4.295867254
9122,4.300363575
9566,4.310640689
469,4.292995669
3292,4.300106474
4104,4.310661782
5375,4.291745839
910,4.292576681
1342,4.296434225
4965,4.287727236
2551,4.295488942
502,4.294423765
5794,4.290370392
7962,4.290987387
3150,4.298879583
9393,4.294400182
8966,4.294314949
10322,4.304185213
5447,4.297401
5421,4.302403304
7455,4.307717216
7758,4.285273455
2508,4.31187119
8721,4.298823262
4162,4.294088444
4555,4.286396107
9222,4.297659166
8092,4.291220616
657,4.284623293
1073,4.289453427
5320,4.298338753
1083,4.30469417
8807,4.295521753
302,4.303137467
2158,4.297398725
8655,4.293358167
1026,4.291333131
1395,4.290649087
7372,4.299900783
7057,4.292750116
156,4.298433042
8668,4.293064906
5338,4.297386634
219,4.29373206
10395,4.296369328
6614,4.288355867
5466,4.286895498
3725,4.291085298
2985,4.294929664
3351,4.286168771
3606,4.293269175
9744,4.302008888
2819,4.30127793
1491,4.296381388
8202,4.293558657
9212,4.287824559
1827,4.297228473
2867,4.286062019
4038,4.284744978
333,4.296672038
5317,4.291961935
2803,4.293220902
10020,4.292318401
2617,4.30126393
1434,4.296553152
5961,4.294840273
6730,4.290770877
315,4.299678019
8022,4.29894491
8134,4.296308007
5275,4.296608221
6452,4.298170761
4015,4.287341723
3607,4.302294205
10029,4.295631898
8675,4.285956811
391,4.296518919
1387,4.303453538
2822,4.300325763
3446,4.29957822
6514,4.306724622
5353,4.308414226
6305,4.298621906
1899,4.294517448
7601,4.28245747
8624,4.29269924
8320,4.289309769
488,4.299173176
4802,4.296018485
10181,4.287319137
10253,4.292511347
7243,4.287278312
591,4.283733935
8422,4.306096981
100,4.29895904
10604,4.292991618
3905,4.286860544
4646,4.29613967
4706,4.29801851
770,4.295596284
7986,4.295109641
4982,4.290502743
9946,4.292601002
1752,4.303395197
8052,4.284235458
4572,4.303951236
2404,4.290437854
5795,4.303482308
7501,4.29316019
1362,4.29153563
9301,4.28969145
9134,4.299079919
924,4.291921492
4064,4.297147335
7696,4.290629586
3204,4.301545393
8174,4.288530536
9438,4.29519126
4369,4.296620018
10583,4.286995542
4210,4.286057115
8391,4.29997689
6497,4.281351747
7297,4.288846027
1388,4.289077196
2670,4.297760881
9768,4.288522742
3237,4.290764449
2510,4.294361712
4213,4.300104836
3652,4.296587779
5418,4.296148285
6395,4.305621765
1179,4.297326528
4103,4.29769274
8638,4.288772597
1175,4.282436635
5995,4.301229585
8741,4.298993382
9184,4.313183398
10216,4.293557849
